[22:50:55] Episode 1141: Reward 5.1, Steps 50, Win Rate 0.255, Epsilon 0.050 (5.2 eps/s)
[22:50:56] Episode 1148: Reward 8.1, Steps 50, Win Rate 0.254, Epsilon 0.050 (5.3 eps/s)
[22:50:56] Episode 1149: Reward 11.2, Steps 50, Win Rate 0.255, Epsilon 0.050 (5.3 eps/s)
[22:50:56] Episode 1150: Reward -3.0, Steps 21, Win Rate 0.255, Epsilon 0.050 (5.3 eps/s)
[22:51:00] Episode 1151: Reward 6.6, Steps 46, Win Rate 0.255, Epsilon 0.050 (5.2 eps/s)
[22:51:00] Episode 1152: Reward 5.1, Steps 50, Win Rate 0.256, Epsilon 0.050 (5.2 eps/s)
[22:51:01] Episode 1154: Reward 13.0, Steps 50, Win Rate 0.256, Epsilon 0.050 (5.2 eps/s)
[22:51:01] Episode 1155: Reward 11.6, Steps 50, Win Rate 0.257, Epsilon 0.050 (5.2 eps/s)
[22:51:01] Episode 1156: Reward 11.7, Steps 50, Win Rate 0.258, Epsilon 0.050 (5.2 eps/s)
[22:51:01] Episode 1157: Reward 9.1, Steps 50, Win Rate 0.258, Epsilon 0.050 (5.2 eps/s)
[22:51:01] Episode 1158: Reward 5.1, Steps 50, Win Rate 0.259, Epsilon 0.050 (5.2 eps/s)
[22:51:02] Episode 1159: Reward 12.4, Steps 50, Win Rate 0.260, Epsilon 0.050 (5.2 eps/s)
[22:51:02] Episode 1160: Reward 12.9, Steps 50, Win Rate 0.260, Epsilon 0.050 (5.2 eps/s)
[22:51:02] Episode 1162: Reward 11.9, Steps 50, Win Rate 0.261, Epsilon 0.050 (5.2 eps/s)
[22:51:02] Episode 1165: Reward 5.1, Steps 50, Win Rate 0.261, Epsilon 0.050 (5.2 eps/s)
[22:51:03] Episode 1168: Reward 5.1, Steps 50, Win Rate 0.261, Epsilon 0.050 (5.2 eps/s)
[22:51:03] Episode 1169: Reward 5.1, Steps 50, Win Rate 0.262, Epsilon 0.050 (5.2 eps/s)
[22:51:03] Episode 1170: Reward 5.2, Steps 50, Win Rate 0.262, Epsilon 0.050 (5.2 eps/s)
[22:51:04] Episode 1175: Reward 10.3, Steps 50, Win Rate 0.262, Epsilon 0.050 (5.2 eps/s)
[22:51:04] Episode 1178: Reward 10.7, Steps 50, Win Rate 0.262, Epsilon 0.050 (5.2 eps/s)
[22:51:04] Episode 1180: Reward 7.3, Steps 45, Win Rate 0.263, Epsilon 0.050 (5.2 eps/s)
[22:51:04] Episode 1182: Reward 5.1, Steps 50, Win Rate 0.263, Epsilon 0.050 (5.2 eps/s)
[22:51:05] Episode 1185: Reward 11.6, Steps 50, Win Rate 0.263, Epsilon 0.050 (5.2 eps/s)
[22:51:05] Episode 1187: Reward 6.1, Steps 32, Win Rate 0.264, Epsilon 0.050 (5.2 eps/s)
[22:51:06] Episode 1189: Reward 6.5, Steps 50, Win Rate 0.264, Epsilon 0.050 (5.2 eps/s)
[22:51:06] Episode 1192: Reward 11.0, Steps 50, Win Rate 0.264, Epsilon 0.050 (5.2 eps/s)
[22:51:07] Episode 1194: Reward 13.1, Steps 50, Win Rate 0.265, Epsilon 0.050 (5.2 eps/s)
[22:51:07] Episode 1197: Reward 6.2, Steps 35, Win Rate 0.265, Epsilon 0.050 (5.2 eps/s)
[22:51:07] Episode 1199: Reward 11.1, Steps 50, Win Rate 0.265, Epsilon 0.050 (5.2 eps/s)
[22:51:08] Episode 1200: Reward -3.3, Steps 18, Win Rate 0.265, Epsilon 0.050 (5.2 eps/s)
[22:51:11] Episode 1204: Reward 11.3, Steps 50, Win Rate 0.265, Epsilon 0.050 (5.1 eps/s)
[22:51:12] Episode 1206: Reward 12.0, Steps 50, Win Rate 0.265, Epsilon 0.050 (5.1 eps/s)
[22:51:12] Episode 1209: Reward 12.3, Steps 50, Win Rate 0.266, Epsilon 0.050 (5.2 eps/s)
[22:51:12] Episode 1211: Reward 9.0, Steps 50, Win Rate 0.266, Epsilon 0.050 (5.2 eps/s)
[22:51:13] Episode 1213: Reward 12.9, Steps 50, Win Rate 0.266, Epsilon 0.050 (5.1 eps/s)
[22:51:13] Episode 1214: Reward 11.1, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.1 eps/s)
[22:51:13] Episode 1215: Reward 5.1, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.1 eps/s)
[22:51:14] Episode 1217: Reward 12.4, Steps 50, Win Rate 0.268, Epsilon 0.050 (5.1 eps/s)
[22:51:14] Episode 1218: Reward 13.0, Steps 50, Win Rate 0.268, Epsilon 0.050 (5.1 eps/s)
[22:51:14] Episode 1219: Reward 7.8, Steps 50, Win Rate 0.269, Epsilon 0.050 (5.1 eps/s)
[22:51:15] Episode 1221: Reward 11.5, Steps 50, Win Rate 0.269, Epsilon 0.050 (5.1 eps/s)
[22:51:15] Episode 1225: Reward 5.2, Steps 50, Win Rate 0.269, Epsilon 0.050 (5.2 eps/s)
[22:51:15] Episode 1227: Reward 6.9, Steps 50, Win Rate 0.270, Epsilon 0.050 (5.2 eps/s)
[22:51:17] Episode 1244: Reward 10.9, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.2 eps/s)
[22:51:18] Episode 1247: Reward 12.0, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.2 eps/s)
[22:51:18] Episode 1249: Reward 5.1, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.2 eps/s)
[22:51:18] Episode 1250: Reward -2.4, Steps 27, Win Rate 0.267, Epsilon 0.050 (5.2 eps/s)
[22:51:22] Episode 1253: Reward 13.0, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.1 eps/s)
[22:51:22] Episode 1254: Reward 10.6, Steps 50, Win Rate 0.268, Epsilon 0.050 (5.1 eps/s)
[22:51:22] Episode 1255: Reward 5.1, Steps 50, Win Rate 0.269, Epsilon 0.050 (5.1 eps/s)
[22:51:22] Episode 1256: Reward 9.1, Steps 50, Win Rate 0.269, Epsilon 0.050 (5.1 eps/s)
[22:51:23] Episode 1264: Reward 12.7, Steps 50, Win Rate 0.268, Epsilon 0.050 (5.1 eps/s)
[22:51:25] Episode 1275: Reward 5.1, Steps 50, Win Rate 0.267, Epsilon 0.050 (5.2 eps/s)
